codigo_municipio_ibge,municipio,uf,n_entidades_censo_total,n_entidades_censo_com_alguma_atividade,n_entidades_censo_com_ept_ativa,n_registros_sistec,n_nomes_unidade_sistec_distintos,presenca_federal_geral_antes_2009,presenca_federal_ept_ativa_antes_2009,multiplas_entidades_censo,multiplas_unidades_sistec,trajetoria_intermitente_ept_ativa,correspondencia_municipio,categorias,prioridade_revisao,prioridade_forcada,observacoes_diagnosticas
1501709,Bragança,PA,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
1502707,Conceição do Araguaia,PA,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
1503606,Itaituba,PA,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
1506807,Santarém,PA,1,1,1,2,2,False,False,False,True,False,exata,C_MULTIPLAS_ENTIDADES,media,False,
2503209,Cabedelo,PB,2,2,2,2,2,False,False,True,True,False,exata,C_MULTIPLAS_ENTIDADES; F_AMBIGUO,alta,False,
2509701,Monteiro,PB,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
2510808,Patos,PB,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
2511400,Picuí,PB,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
2512309,Princesa Isabel,PB,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
2600104,Afogados da Ingazeira,PE,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
2604106,Caruaru,PE,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
2606002,Garanhuns,PE,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
2609907,Ouricuri,PE,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
2612208,Salgueiro,PE,1,1,1,3,3,False,False,False,True,False,exata,C_MULTIPLAS_ENTIDADES,media,False,
2200608,Angical do Piauí,PI,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
2202901,Corrente,PI,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
2207801,Paulistana,PI,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
2208403,Piripiri,PI,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
2210607,São Raimundo Nonato,PI,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
2211209,Uruçuí,PI,2,2,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,"1 de 2 entidade(s) do Censo nunca tiveram EPT ativa (preservadas na tabela longa, excluidas da contagem de alerta)"
4108304,Foz do Iguaçu,PR,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
4111803,Jacarezinho,PR,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
4118204,Paranaguá,PR,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
4118402,Paranavaí,PR,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
4127106,Telêmaco Borba,PR,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
4128104,Umuarama,PR,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
3300100,Angra dos Reis,RJ,2,2,1,1,1,True,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,"1 de 2 entidade(s) do Censo nunca tiveram EPT ativa (preservadas na tabela longa, excluidas da contagem de alerta)"
3300704,Cabo Frio,RJ,2,2,2,2,1,False,False,True,False,False,exata,C_MULTIPLAS_ENTIDADES; F_AMBIGUO,alta,False,candidatos MEC/SISTEC com o mesmo nome normalizado e dt_autorizacao divergente
3301702,Duque de Caxias,RJ,2,2,2,3,3,True,False,True,True,False,exata,C_MULTIPLAS_ENTIDADES; F_AMBIGUO,alta,False,
3302205,Itaperuna,RJ,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
3303401,Nova Friburgo,RJ,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
3303906,Petrópolis,RJ,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
3306305,Volta Redonda,RJ,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
2401008,Apodi,RN,2,2,2,1,1,False,False,True,False,False,exata,C_MULTIPLAS_ENTIDADES,media,False,
2402006,Caicó,RN,2,2,2,1,1,False,False,True,False,False,exata,C_MULTIPLAS_ENTIDADES,media,False,
2405801,João Câmara,RN,2,2,2,1,1,False,False,True,False,False,exata,C_MULTIPLAS_ENTIDADES,media,False,
2407203,Macau,RN,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
2409407,Pau dos Ferros,RN,2,2,2,1,1,False,False,True,False,False,exata,C_MULTIPLAS_ENTIDADES,media,False,
2411205,Santa Cruz,RN,2,2,2,0,0,False,False,True,False,False,sem_candidato,C_MULTIPLAS_ENTIDADES; E_SEM_CANDIDATO_MEC,media,False,nenhum candidato MEC/SISTEC encontrado por UF + nome do municipio
1100122,Ji-Paraná,RO,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
1100304,Vilhena,RO,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
1400027,Amajari,RR,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
4301602,Bagé,RS,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
4303509,Camaquã,RS,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
4305108,Caxias do Sul,RS,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
4307005,Erechim,RS,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
4313508,Osório,RS,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
4313904,Panambi,RS,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
4314902,Porto Alegre,RS,5,5,2,6,6,True,True,True,True,False,exata,B_EPT_ATIVA_ANTES_2009; C_MULTIPLAS_ENTIDADES; F_AMBIGUO,alta,True,"Porto Alegre/RS: Campus Porto Alegre do IFRS, ex-Escola Tecnica da UFRGS (EPT ativa desde 2007) x Campus Restinga, polo real da Fase II (2011-).; 3 de 5 entidade(s) do Censo nunca tiveram EPT ativa (preservadas na tabela longa, excluidas da contagem de alerta)"
4317202,Santa Rosa,RS,1,1,1,2,2,False,False,False,True,False,exata,C_MULTIPLAS_ENTIDADES,media,False,
4318002,São Borja,RS,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
4322608,Venâncio Aires,RS,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
4203808,Canoinhas,SC,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
4204608,Criciúma,SC,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
4205902,Gaspar,SC,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
4208203,Itajaí,SC,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
4209300,Lages,SC,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
4217204,São Miguel do Oeste,SC,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
4219309,Videira,SC,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
2802106,Estância,SE,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
2802908,Itabaiana,SE,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
2804508,Nossa Senhora da Glória,SE,1,1,1,2,2,False,False,False,True,True,exata,C_MULTIPLAS_ENTIDADES; D_INTERMITENTE,media,False,
3503208,Araraquara,SP,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
3504503,Avaré,SP,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
3505500,Barretos,SP,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
3506508,Birigui,SP,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
3509502,Campinas,SP,4,2,1,1,1,True,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,"3 de 4 entidade(s) do Censo nunca tiveram EPT ativa (preservadas na tabela longa, excluidas da contagem de alerta)"
3511102,Catanduva,SP,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
3522307,Itapetininga,SP,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
3538709,Piracicaba,SP,1,1,1,1,1,False,False,False,False,True,exata,D_INTERMITENTE,media,False,
3541307,Presidente Epitácio,SP,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
3542602,Registro,SP,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
3552502,Suzano,SP,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
3557105,Votuporanga,SP,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
1702109,Araguaína,TO,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
1709500,Gurupi,TO,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
1718204,Porto Nacional,TO,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
