codigo_municipio_ibge,municipio,uf,tipo_candidato,co_entidade,nomes_historicos_censo,primeiro_ano_registro_censo,ultimo_ano_registro_censo,primeiro_ano_ativa_censo,ultimo_ano_ativa_censo,primeiro_ano_ept_ativa_censo,ultimo_ano_ept_ativa_censo,sigla_unidade_sistec,nome_unidade_sistec,dt_autorizacao_sistec,uf_unidade_sistec,municipio_unidade_sistec,correspondencia_municipio
5300108,Brasília,DF,CENSO_ESCOLAR,53015398,INST FEDERAL DE BRASILIA - CAMPUS TAGUATINGA CENTRO; IFB - CAMPUS TAGUATINGA CENTRO,2012.0,2018.0,2012,2017,2012,2017,,,,,,codigo_ibge
5300108,Brasília,DF,CENSO_ESCOLAR,53015401,INST FEDERAL DE BRASILIA - CAMPUS SAO SEBASTIAO; IFB - CAMPUS SAO SEBASTIAO,2012.0,2019.0,2012,2019,2012,2019,,,,,,codigo_ibge
5300108,Brasília,DF,CENSO_ESCOLAR,53016645,IFB - CAMPUS CEILANDIA,2015.0,2019.0,2015,2019,2015,2019,,,,,,codigo_ibge
5300108,Brasília,DF,CENSO_ESCOLAR,53016653,IFB - CAMPUS ESTRUTURAL,2016.0,2019.0,2016,2019,2016,2019,,,,,,codigo_ibge
5300108,Brasília,DF,CENSO_ESCOLAR,53017668,IFB - CAMPUS RECANTO DAS EMAS,2018.0,2019.0,2018,2019,2018,2019,,,,,,codigo_ibge
5300108,Brasília,DF,MEC_SISTEC,,,,,,,,,null,CEMAB,05/07/2013 18:18:53,DF,Brasília,exata
5300108,Brasília,DF,MEC_SISTEC,,,,,,,,,null,CESEC TEOTONIO MAGALHAES,21/02/2013 14:29:35,DF,Brasília,exata
5300108,Brasília,DF,MEC_SISTEC,,,,,,,,,null,Escola teste - manual sistec,26/02/2016 11:06:10,DF,Brasília,exata
5300108,Brasília,DF,MEC_SISTEC,,,,,,,,,IFB,INSTITUTO FEDERAL DE BRASÍLIA CAMPUS AVANÇADO SOBRADINHO,20/03/2014 09:50:23,DF,Brasília,exata
5300108,Brasília,DF,MEC_SISTEC,,,,,,,,,IFB,Instituto Federal de Brasília - Campus Brasília,05/01/2010 14:13:25,DF,Brasília,exata
5300108,Brasília,DF,MEC_SISTEC,,,,,,,,,IFB,INSTITUTO FEDERAL DE BRASILIA CAMPUS CEILÂNDIA,28/05/2012 12:12:56,DF,Brasília,exata
5300108,Brasília,DF,MEC_SISTEC,,,,,,,,,IFB,INSTITUTO FEDERAL DE BRASÍLIA CAMPUS ESTRUTURAL,23/04/2012 15:06:42,DF,Brasília,exata
5300108,Brasília,DF,MEC_SISTEC,,,,,,,,,IFB,Instituto Federal de Brasília - Campus Gama,21/01/2010 12:54:12,DF,Brasília,exata
5300108,Brasília,DF,MEC_SISTEC,,,,,,,,,IFB,Instituto Federal de Brasília - Campus Planaltina,02/03/2009 10:27:56,DF,Brasília,exata
5300108,Brasília,DF,MEC_SISTEC,,,,,,,,,IFB,INSTITUTO FEDERAL DE BRASILIA CAMPUS RECANTO DAS EMAS,01/11/2011 08:34:34,DF,Brasília,exata
5300108,Brasília,DF,MEC_SISTEC,,,,,,,,,null,INSTITUTO FEDERAL DE BRASILIA CAMPUS RECANTO DAS EMAS inativa,07/06/2018 12:22:46,DF,Brasília,exata
5300108,Brasília,DF,MEC_SISTEC,,,,,,,,,IFB,Instituto Federal de Brasília - Campus Riacho Fundo,15/07/2011 11:44:14,DF,Brasília,exata
5300108,Brasília,DF,MEC_SISTEC,,,,,,,,,IFB,Instituto Federal de Brasília - Campus Samambaia,21/01/2010 12:47:36,DF,Brasília,exata
5300108,Brasília,DF,MEC_SISTEC,,,,,,,,,null,INSTITUTO FEDERAL DE BRASILIA CAMPUS SÃO SEBASTIÃO,07/06/2011 16:46:33,DF,Brasília,exata
5300108,Brasília,DF,MEC_SISTEC,,,,,,,,,IFB,Instituto Federal de Brasília - Campus São Sebastião,15/07/2011 11:40:42,DF,Brasília,exata
5300108,Brasília,DF,MEC_SISTEC,,,,,,,,,IFB,Instituto Federal de Brasília - Campus Taguatinga,21/01/2010 12:40:01,DF,Brasília,exata
5300108,Brasília,DF,MEC_SISTEC,,,,,,,,,null,INSTITUTO MATHEUS,22/02/2013 15:00:25,DF,Brasília,exata
5300108,Brasília,DF,MEC_SISTEC,,,,,,,,,null,INSTITUTO PRIsCIlLA CASTILHO,16/07/2009 15:38:24,DF,Brasília,exata
5300108,Brasília,DF,MEC_SISTEC,,,,,,,,,null,INSTITUTO TAULUS,19/03/2013 15:02:26,DF,Brasília,exata
5300108,Brasília,DF,MEC_SISTEC,,,,,,,,,null,Ministério da Eduação,15/05/2012 14:59:11,DF,Brasília,exata
3200607,Aracruz,ES,CENSO_ESCOLAR,32102003,IFES - CAMPUS ARACRUZ,2009.0,2019.0,2009,2019,2009,2019,,,,,,codigo_ibge
3200607,Aracruz,ES,MEC_SISTEC,,,,,,,,,IFES,Instituto Federal do Espírito Santo - Campus Aracruz,15/05/2009 09:01:59,ES,Aracruz,exata
3202454,Ibatiba,ES,CENSO_ESCOLAR,32078501,INSTITUTO FEDERAL DO ESPIRITO SANTO - CAMPUS IBATIBA; IFES - CAMPUS IBATIBA,2011.0,2019.0,2011,2019,2011,2019,,,,,,codigo_ibge
3202454,Ibatiba,ES,MEC_SISTEC,,,,,,,,,IFES,Instituto Federal do Espírito Santo - Campus Ibatiba,11/01/2011 16:53:52,ES,Ibatiba,exata
3203205,Linhares,ES,CENSO_ESCOLAR,32102070,IFES - CAMPUS LINHARES,2009.0,2019.0,2009,2019,2009,2019,,,,,,codigo_ibge
3203205,Linhares,ES,MEC_SISTEC,,,,,,,,,IFES,Instituto Federal do Espírito Santo - Campus Linhares,15/05/2009 09:21:05,ES,Linhares,exata
